supplement_name,medication_name,severity,mechanism,evidence,recommendation
Supplement 446,Medication 117,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 914,Medication 30,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 975,Medication 60,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 661,Medication 57,high,Additive effect,C,Auto-generated interaction
Supplement 109,Medication 36,moderate,Additive effect,B,Auto-generated interaction
Supplement 137,Medication 58,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 81,Medication 25,low,Absorption reduction,A,Auto-generated interaction
Supplement 727,Medication 24,severe,Additive effect,B,Auto-generated interaction
Supplement 496,Medication 139,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 866,Medication 71,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 201,Medication 103,moderate,Additive effect,B,Auto-generated interaction
Supplement 980,Medication 11,high,Unknown,A,Auto-generated interaction
Supplement 135,Medication 1,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 357,Medication 17,high,Unknown,A,Auto-generated interaction
Supplement 945,Medication 44,severe,Absorption reduction,B,Auto-generated interaction
Supplement 279,Medication 62,severe,Absorption reduction,A,Auto-generated interaction
Supplement 598,Medication 124,high,Additive effect,A,Auto-generated interaction
Supplement 145,Medication 61,high,Additive effect,B,Auto-generated interaction
Supplement 803,Medication 112,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 565,Medication 56,high,Unknown,C,Auto-generated interaction
Supplement 433,Medication 5,high,Unknown,A,Auto-generated interaction
Supplement 304,Medication 53,severe,Unknown,C,Auto-generated interaction
Supplement 511,Medication 6,severe,Unknown,A,Auto-generated interaction
Supplement 973,Medication 30,high,Additive effect,A,Auto-generated interaction
Supplement 16,Medication 69,severe,Additive effect,B,Auto-generated interaction
Supplement 386,Medication 53,high,Additive effect,B,Auto-generated interaction
Supplement 299,Medication 70,moderate,Unknown,C,Auto-generated interaction
Supplement 975,Medication 53,severe,Unknown,A,Auto-generated interaction
Supplement 111,Medication 53,low,Unknown,A,Auto-generated interaction
Supplement 947,Medication 134,severe,Absorption reduction,B,Auto-generated interaction
Supplement 274,Medication 146,severe,Absorption reduction,B,Auto-generated interaction
Supplement 934,Medication 99,high,Absorption reduction,B,Auto-generated interaction
Supplement 385,Medication 3,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 868,Medication 27,high,Additive effect,A,Auto-generated interaction
Supplement 795,Medication 132,low,Unknown,B,Auto-generated interaction
Supplement 565,Medication 149,low,Unknown,C,Auto-generated interaction
Supplement 921,Medication 109,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 190,Medication 62,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 79,Medication 109,high,Additive effect,B,Auto-generated interaction
Supplement 277,Medication 55,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 246,Medication 64,severe,Unknown,B,Auto-generated interaction
Supplement 677,Medication 22,severe,Additive effect,B,Auto-generated interaction
Supplement 454,Medication 115,low,Absorption reduction,A,Auto-generated interaction
Supplement 89,Medication 77,severe,Absorption reduction,A,Auto-generated interaction
Supplement 154,Medication 17,moderate,Additive effect,B,Auto-generated interaction
Supplement 970,Medication 85,high,Absorption reduction,A,Auto-generated interaction
Supplement 708,Medication 29,high,Additive effect,C,Auto-generated interaction
Supplement 939,Medication 88,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 55,Medication 111,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 742,Medication 148,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 102,Medication 34,severe,Unknown,C,Auto-generated interaction
Supplement 110,Medication 14,severe,Additive effect,B,Auto-generated interaction
Supplement 928,Medication 132,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 234,Medication 8,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 649,Medication 12,severe,Additive effect,B,Auto-generated interaction
Supplement 680,Medication 55,low,Additive effect,B,Auto-generated interaction
Supplement 199,Medication 19,high,Absorption reduction,C,Auto-generated interaction
Supplement 344,Medication 2,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 331,Medication 147,severe,Unknown,A,Auto-generated interaction
Supplement 767,Medication 70,severe,Additive effect,C,Auto-generated interaction
Supplement 457,Medication 52,low,Unknown,C,Auto-generated interaction
Supplement 112,Medication 6,severe,Additive effect,A,Auto-generated interaction
Supplement 897,Medication 100,severe,Absorption reduction,B,Auto-generated interaction
Supplement 41,Medication 46,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 593,Medication 33,severe,Absorption reduction,C,Auto-generated interaction
Supplement 562,Medication 29,low,Additive effect,A,Auto-generated interaction
Supplement 416,Medication 101,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 215,Medication 114,low,Additive effect,A,Auto-generated interaction
Supplement 713,Medication 23,low,Absorption reduction,C,Auto-generated interaction
Supplement 926,Medication 115,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 518,Medication 149,low,Absorption reduction,B,Auto-generated interaction
Supplement 435,Medication 113,moderate,Additive effect,C,Auto-generated interaction
Supplement 123,Medication 117,severe,Unknown,A,Auto-generated interaction
Supplement 236,Medication 98,low,Additive effect,C,Auto-generated interaction
Supplement 164,Medication 133,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 263,Medication 148,low,Absorption reduction,C,Auto-generated interaction
Supplement 235,Medication 17,high,Absorption reduction,C,Auto-generated interaction
Supplement 68,Medication 44,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 888,Medication 56,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 587,Medication 132,high,Absorption reduction,A,Auto-generated interaction
Supplement 585,Medication 123,low,Additive effect,A,Auto-generated interaction
Supplement 507,Medication 100,moderate,Additive effect,A,Auto-generated interaction
Supplement 79,Medication 123,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 796,Medication 94,low,Additive effect,A,Auto-generated interaction
Supplement 978,Medication 43,high,Unknown,B,Auto-generated interaction
Supplement 225,Medication 55,low,Absorption reduction,A,Auto-generated interaction
Supplement 389,Medication 56,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 102,Medication 69,high,Absorption reduction,A,Auto-generated interaction
Supplement 403,Medication 102,severe,Unknown,C,Auto-generated interaction
Supplement 670,Medication 105,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 161,Medication 8,high,Absorption reduction,C,Auto-generated interaction
Supplement 206,Medication 5,severe,Absorption reduction,A,Auto-generated interaction
Supplement 57,Medication 6,severe,Absorption reduction,C,Auto-generated interaction
Supplement 419,Medication 25,severe,Additive effect,B,Auto-generated interaction
Supplement 660,Medication 72,severe,Unknown,C,Auto-generated interaction
Supplement 811,Medication 4,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 782,Medication 104,high,Additive effect,B,Auto-generated interaction
Supplement 544,Medication 69,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 698,Medication 145,low,Absorption reduction,B,Auto-generated interaction
Supplement 509,Medication 87,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 213,Medication 23,high,Unknown,B,Auto-generated interaction
Supplement 662,Medication 17,moderate,Additive effect,B,Auto-generated interaction
Supplement 237,Medication 3,moderate,Additive effect,C,Auto-generated interaction
Supplement 823,Medication 53,high,Unknown,C,Auto-generated interaction
Supplement 185,Medication 76,low,Absorption reduction,C,Auto-generated interaction
Supplement 854,Medication 17,low,Additive effect,B,Auto-generated interaction
Supplement 411,Medication 23,low,Absorption reduction,B,Auto-generated interaction
Supplement 138,Medication 126,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 729,Medication 92,low,Absorption reduction,B,Auto-generated interaction
Supplement 940,Medication 14,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 770,Medication 24,severe,Additive effect,B,Auto-generated interaction
Supplement 581,Medication 20,low,Unknown,C,Auto-generated interaction
Supplement 707,Medication 101,high,Unknown,A,Auto-generated interaction
Supplement 963,Medication 43,severe,Unknown,A,Auto-generated interaction
Supplement 71,Medication 58,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 325,Medication 48,low,Absorption reduction,B,Auto-generated interaction
Supplement 485,Medication 56,moderate,Unknown,B,Auto-generated interaction
Supplement 552,Medication 45,severe,Unknown,B,Auto-generated interaction
Supplement 366,Medication 14,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 846,Medication 90,severe,Additive effect,A,Auto-generated interaction
Supplement 465,Medication 44,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 576,Medication 146,high,Additive effect,A,Auto-generated interaction
Supplement 638,Medication 46,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 300,Medication 68,high,Additive effect,C,Auto-generated interaction
Supplement 967,Medication 85,severe,Absorption reduction,C,Auto-generated interaction
Supplement 354,Medication 125,low,Absorption reduction,B,Auto-generated interaction
Supplement 927,Medication 129,high,Additive effect,B,Auto-generated interaction
Supplement 682,Medication 147,low,Additive effect,B,Auto-generated interaction
Supplement 745,Medication 40,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 423,Medication 79,high,Unknown,B,Auto-generated interaction
Supplement 339,Medication 54,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 349,Medication 57,moderate,Unknown,A,Auto-generated interaction
Supplement 777,Medication 139,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 530,Medication 29,severe,Additive effect,A,Auto-generated interaction
Supplement 320,Medication 37,severe,Additive effect,B,Auto-generated interaction
Supplement 786,Medication 68,high,Unknown,A,Auto-generated interaction
Supplement 117,Medication 100,low,Unknown,B,Auto-generated interaction
Supplement 191,Medication 64,low,Additive effect,C,Auto-generated interaction
Supplement 917,Medication 12,high,Absorption reduction,A,Auto-generated interaction
Supplement 926,Medication 143,severe,Additive effect,C,Auto-generated interaction
Supplement 499,Medication 39,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 483,Medication 133,low,Unknown,B,Auto-generated interaction
Supplement 114,Medication 85,moderate,Unknown,A,Auto-generated interaction
Supplement 304,Medication 5,moderate,Unknown,C,Auto-generated interaction
Supplement 373,Medication 112,moderate,Additive effect,B,Auto-generated interaction
Supplement 229,Medication 123,moderate,Additive effect,C,Auto-generated interaction
Supplement 836,Medication 68,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 548,Medication 110,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 629,Medication 67,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 923,Medication 100,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 782,Medication 123,severe,Additive effect,C,Auto-generated interaction
Supplement 737,Medication 139,high,Absorption reduction,B,Auto-generated interaction
Supplement 325,Medication 108,moderate,Unknown,A,Auto-generated interaction
Supplement 537,Medication 102,moderate,Additive effect,B,Auto-generated interaction
Supplement 746,Medication 47,moderate,Unknown,A,Auto-generated interaction
Supplement 325,Medication 138,low,Absorption reduction,B,Auto-generated interaction
Supplement 237,Medication 57,low,Absorption reduction,A,Auto-generated interaction
Supplement 976,Medication 125,low,Additive effect,B,Auto-generated interaction
Supplement 94,Medication 114,high,Absorption reduction,C,Auto-generated interaction
Supplement 323,Medication 92,moderate,Additive effect,A,Auto-generated interaction
Supplement 725,Medication 17,low,Unknown,B,Auto-generated interaction
Supplement 861,Medication 129,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 804,Medication 27,severe,Additive effect,C,Auto-generated interaction
Supplement 680,Medication 55,low,Absorption reduction,C,Auto-generated interaction
Supplement 116,Medication 20,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 921,Medication 147,low,Additive effect,A,Auto-generated interaction
Supplement 186,Medication 116,low,Unknown,B,Auto-generated interaction
Supplement 981,Medication 91,severe,Additive effect,C,Auto-generated interaction
Supplement 766,Medication 7,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 176,Medication 82,low,Additive effect,C,Auto-generated interaction
Supplement 626,Medication 124,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 388,Medication 144,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 273,Medication 75,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 48,Medication 5,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 465,Medication 125,high,Additive effect,A,Auto-generated interaction
Supplement 423,Medication 119,severe,Absorption reduction,A,Auto-generated interaction
Supplement 885,Medication 137,high,Additive effect,B,Auto-generated interaction
Supplement 672,Medication 96,moderate,Additive effect,B,Auto-generated interaction
Supplement 538,Medication 140,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 507,Medication 45,high,Unknown,A,Auto-generated interaction
Supplement 127,Medication 121,low,Unknown,B,Auto-generated interaction
Supplement 797,Medication 104,high,Absorption reduction,B,Auto-generated interaction
Supplement 666,Medication 133,severe,Absorption reduction,C,Auto-generated interaction
Supplement 38,Medication 139,severe,Absorption reduction,A,Auto-generated interaction
Supplement 844,Medication 129,severe,Absorption reduction,A,Auto-generated interaction
Supplement 720,Medication 17,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 543,Medication 101,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 234,Medication 127,severe,Additive effect,A,Auto-generated interaction
Supplement 65,Medication 21,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 386,Medication 91,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 642,Medication 131,severe,Additive effect,B,Auto-generated interaction
Supplement 111,Medication 138,low,Additive effect,A,Auto-generated interaction
Supplement 632,Medication 91,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 454,Medication 67,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 410,Medication 138,low,Additive effect,A,Auto-generated interaction
Supplement 992,Medication 49,moderate,Unknown,A,Auto-generated interaction
Supplement 245,Medication 17,severe,Unknown,A,Auto-generated interaction
Supplement 375,Medication 141,severe,Unknown,C,Auto-generated interaction
Supplement 1,Medication 133,moderate,Additive effect,A,Auto-generated interaction
Supplement 437,Medication 23,high,Additive effect,C,Auto-generated interaction
Supplement 657,Medication 73,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 255,Medication 4,high,Additive effect,A,Auto-generated interaction
Supplement 735,Medication 117,moderate,Unknown,B,Auto-generated interaction
Supplement 633,Medication 20,moderate,Additive effect,A,Auto-generated interaction
Supplement 930,Medication 115,low,Additive effect,B,Auto-generated interaction
Supplement 869,Medication 112,high,Absorption reduction,B,Auto-generated interaction
Supplement 7,Medication 129,high,Absorption reduction,B,Auto-generated interaction
Supplement 796,Medication 6,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 413,Medication 84,moderate,Additive effect,C,Auto-generated interaction
Supplement 757,Medication 20,severe,Additive effect,A,Auto-generated interaction
Supplement 15,Medication 14,high,Additive effect,C,Auto-generated interaction
Supplement 712,Medication 26,severe,Absorption reduction,A,Auto-generated interaction
Supplement 708,Medication 136,low,Absorption reduction,B,Auto-generated interaction
Supplement 186,Medication 146,moderate,Additive effect,C,Auto-generated interaction
Supplement 988,Medication 100,severe,Unknown,B,Auto-generated interaction
Supplement 233,Medication 15,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 781,Medication 41,moderate,Additive effect,C,Auto-generated interaction
Supplement 176,Medication 85,severe,Absorption reduction,B,Auto-generated interaction
Supplement 484,Medication 28,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 8,Medication 23,low,Absorption reduction,A,Auto-generated interaction
Supplement 189,Medication 125,low,Additive effect,C,Auto-generated interaction
Supplement 391,Medication 28,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 125,Medication 106,severe,Additive effect,C,Auto-generated interaction
Supplement 743,Medication 54,low,Unknown,C,Auto-generated interaction
Supplement 510,Medication 66,high,Unknown,A,Auto-generated interaction
Supplement 534,Medication 42,high,Additive effect,A,Auto-generated interaction
Supplement 199,Medication 120,severe,Absorption reduction,B,Auto-generated interaction
Supplement 859,Medication 134,severe,Additive effect,A,Auto-generated interaction
Supplement 165,Medication 79,moderate,Additive effect,C,Auto-generated interaction
Supplement 457,Medication 79,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 628,Medication 19,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 667,Medication 37,severe,Additive effect,B,Auto-generated interaction
Supplement 307,Medication 43,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 904,Medication 49,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 378,Medication 70,high,Unknown,A,Auto-generated interaction
Supplement 12,Medication 53,severe,Absorption reduction,A,Auto-generated interaction
Supplement 438,Medication 91,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 87,Medication 27,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 259,Medication 129,low,Absorption reduction,C,Auto-generated interaction
Supplement 655,Medication 34,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 94,Medication 21,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 533,Medication 139,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 281,Medication 7,high,Unknown,C,Auto-generated interaction
Supplement 561,Medication 106,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 503,Medication 17,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 620,Medication 55,low,Additive effect,B,Auto-generated interaction
Supplement 721,Medication 138,low,Absorption reduction,C,Auto-generated interaction
Supplement 621,Medication 127,moderate,Unknown,A,Auto-generated interaction
Supplement 802,Medication 20,moderate,Unknown,B,Auto-generated interaction
Supplement 251,Medication 24,moderate,Unknown,A,Auto-generated interaction
Supplement 297,Medication 79,high,Unknown,A,Auto-generated interaction
Supplement 187,Medication 102,high,Unknown,C,Auto-generated interaction
Supplement 95,Medication 81,severe,Absorption reduction,C,Auto-generated interaction
Supplement 120,Medication 131,high,Unknown,C,Auto-generated interaction
Supplement 929,Medication 7,high,Additive effect,C,Auto-generated interaction
Supplement 491,Medication 93,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 618,Medication 9,severe,Absorption reduction,C,Auto-generated interaction
Supplement 82,Medication 6,low,Absorption reduction,A,Auto-generated interaction
Supplement 445,Medication 6,severe,Additive effect,B,Auto-generated interaction
Supplement 471,Medication 106,severe,Additive effect,B,Auto-generated interaction
Supplement 147,Medication 150,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 587,Medication 145,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 318,Medication 85,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 653,Medication 48,high,Additive effect,C,Auto-generated interaction
Supplement 594,Medication 124,high,Unknown,B,Auto-generated interaction
Supplement 366,Medication 67,low,Unknown,A,Auto-generated interaction
Supplement 452,Medication 75,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 922,Medication 90,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 191,Medication 86,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 720,Medication 39,low,Absorption reduction,C,Auto-generated interaction
Supplement 787,Medication 83,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 617,Medication 76,high,Unknown,B,Auto-generated interaction
Supplement 923,Medication 69,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 918,Medication 63,high,Absorption reduction,C,Auto-generated interaction
Supplement 680,Medication 64,high,Unknown,A,Auto-generated interaction
Supplement 412,Medication 101,low,Additive effect,B,Auto-generated interaction
Supplement 546,Medication 114,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 47,Medication 111,severe,Absorption reduction,C,Auto-generated interaction
Supplement 15,Medication 101,low,Unknown,C,Auto-generated interaction
Supplement 666,Medication 42,severe,Additive effect,B,Auto-generated interaction
Supplement 218,Medication 123,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 10,Medication 69,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 456,Medication 98,high,Unknown,A,Auto-generated interaction
Supplement 20,Medication 84,high,Unknown,A,Auto-generated interaction
Supplement 82,Medication 78,moderate,Unknown,B,Auto-generated interaction
Supplement 348,Medication 18,high,Absorption reduction,A,Auto-generated interaction
Supplement 355,Medication 124,high,Additive effect,A,Auto-generated interaction
Supplement 891,Medication 78,low,Absorption reduction,B,Auto-generated interaction
Supplement 908,Medication 29,severe,Additive effect,B,Auto-generated interaction
Supplement 189,Medication 11,moderate,Unknown,C,Auto-generated interaction
Supplement 404,Medication 35,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 945,Medication 101,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 980,Medication 24,high,Absorption reduction,A,Auto-generated interaction
Supplement 299,Medication 13,moderate,Unknown,C,Auto-generated interaction
Supplement 11,Medication 144,moderate,Additive effect,B,Auto-generated interaction
Supplement 192,Medication 60,high,Additive effect,B,Auto-generated interaction
Supplement 602,Medication 121,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 543,Medication 49,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 668,Medication 100,severe,Unknown,A,Auto-generated interaction
Supplement 268,Medication 29,severe,Absorption reduction,B,Auto-generated interaction
Supplement 151,Medication 103,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 287,Medication 83,severe,Absorption reduction,C,Auto-generated interaction
Supplement 957,Medication 98,moderate,Additive effect,C,Auto-generated interaction
Supplement 577,Medication 64,moderate,Additive effect,A,Auto-generated interaction
Supplement 705,Medication 27,severe,Unknown,A,Auto-generated interaction
Supplement 702,Medication 144,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 92,Medication 1,low,Unknown,A,Auto-generated interaction
Supplement 708,Medication 125,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 855,Medication 113,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 595,Medication 46,high,Unknown,B,Auto-generated interaction
Supplement 669,Medication 137,high,Unknown,A,Auto-generated interaction
Supplement 202,Medication 117,moderate,Additive effect,A,Auto-generated interaction
Supplement 496,Medication 125,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 537,Medication 141,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 503,Medication 132,low,Additive effect,A,Auto-generated interaction
Supplement 523,Medication 78,low,Unknown,A,Auto-generated interaction
Supplement 670,Medication 143,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 671,Medication 115,high,Absorption reduction,B,Auto-generated interaction
Supplement 851,Medication 9,high,Absorption reduction,A,Auto-generated interaction
Supplement 401,Medication 77,severe,Absorption reduction,B,Auto-generated interaction
Supplement 729,Medication 112,high,Unknown,C,Auto-generated interaction
Supplement 355,Medication 132,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 396,Medication 139,severe,Absorption reduction,B,Auto-generated interaction
Supplement 105,Medication 9,severe,Additive effect,B,Auto-generated interaction
Supplement 313,Medication 70,moderate,Unknown,C,Auto-generated interaction
Supplement 30,Medication 95,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 697,Medication 117,low,Additive effect,B,Auto-generated interaction
Supplement 325,Medication 13,low,Unknown,A,Auto-generated interaction
Supplement 52,Medication 51,high,Additive effect,B,Auto-generated interaction
Supplement 726,Medication 96,low,Additive effect,C,Auto-generated interaction
Supplement 954,Medication 144,low,Additive effect,A,Auto-generated interaction
Supplement 533,Medication 114,high,Absorption reduction,A,Auto-generated interaction
Supplement 658,Medication 57,moderate,Additive effect,A,Auto-generated interaction
Supplement 889,Medication 67,moderate,Additive effect,B,Auto-generated interaction
Supplement 430,Medication 59,severe,Unknown,B,Auto-generated interaction
Supplement 714,Medication 82,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 114,Medication 134,high,Unknown,A,Auto-generated interaction
Supplement 271,Medication 131,moderate,Additive effect,C,Auto-generated interaction
Supplement 407,Medication 77,high,Additive effect,A,Auto-generated interaction
Supplement 870,Medication 27,low,Additive effect,A,Auto-generated interaction
Supplement 11,Medication 47,moderate,Unknown,A,Auto-generated interaction
Supplement 204,Medication 50,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 440,Medication 87,low,Absorption reduction,B,Auto-generated interaction
Supplement 231,Medication 132,severe,Absorption reduction,C,Auto-generated interaction
Supplement 678,Medication 149,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 995,Medication 121,high,Absorption reduction,C,Auto-generated interaction
Supplement 680,Medication 121,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 857,Medication 12,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 554,Medication 134,high,Additive effect,C,Auto-generated interaction
Supplement 691,Medication 67,low,Unknown,B,Auto-generated interaction
Supplement 758,Medication 140,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 878,Medication 136,moderate,Unknown,C,Auto-generated interaction
Supplement 470,Medication 39,low,Unknown,B,Auto-generated interaction
Supplement 285,Medication 41,low,Absorption reduction,A,Auto-generated interaction
Supplement 628,Medication 92,severe,Unknown,B,Auto-generated interaction
Supplement 708,Medication 114,moderate,Additive effect,B,Auto-generated interaction
Supplement 714,Medication 50,high,Absorption reduction,A,Auto-generated interaction
Supplement 502,Medication 58,severe,Absorption reduction,C,Auto-generated interaction
Supplement 7,Medication 118,high,Additive effect,A,Auto-generated interaction
Supplement 982,Medication 78,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 22,Medication 111,severe,Unknown,A,Auto-generated interaction
Supplement 509,Medication 13,moderate,Additive effect,B,Auto-generated interaction
Supplement 856,Medication 62,high,Absorption reduction,A,Auto-generated interaction
Supplement 295,Medication 13,severe,Unknown,A,Auto-generated interaction
Supplement 475,Medication 13,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 189,Medication 25,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 918,Medication 47,high,Unknown,A,Auto-generated interaction
Supplement 829,Medication 73,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 953,Medication 57,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 282,Medication 24,high,Unknown,C,Auto-generated interaction
Supplement 930,Medication 125,severe,Unknown,A,Auto-generated interaction
Supplement 10,Medication 33,high,Unknown,A,Auto-generated interaction
Supplement 273,Medication 144,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 412,Medication 66,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 532,Medication 144,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 635,Medication 48,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 520,Medication 39,high,Additive effect,A,Auto-generated interaction
Supplement 719,Medication 143,severe,Additive effect,A,Auto-generated interaction
Supplement 144,Medication 138,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 234,Medication 119,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 820,Medication 21,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 616,Medication 14,high,Unknown,C,Auto-generated interaction
Supplement 96,Medication 68,moderate,Additive effect,B,Auto-generated interaction
Supplement 85,Medication 73,high,Unknown,C,Auto-generated interaction
Supplement 476,Medication 31,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 723,Medication 142,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 781,Medication 62,low,Unknown,A,Auto-generated interaction
Supplement 139,Medication 127,high,Unknown,C,Auto-generated interaction
Supplement 905,Medication 51,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 713,Medication 132,low,Absorption reduction,A,Auto-generated interaction
Supplement 989,Medication 55,low,Absorption reduction,C,Auto-generated interaction
Supplement 530,Medication 139,high,Additive effect,B,Auto-generated interaction
Supplement 504,Medication 102,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 728,Medication 53,high,Absorption reduction,B,Auto-generated interaction
Supplement 915,Medication 1,moderate,Unknown,B,Auto-generated interaction
Supplement 245,Medication 106,low,Additive effect,C,Auto-generated interaction
Supplement 909,Medication 56,moderate,Unknown,C,Auto-generated interaction
Supplement 875,Medication 40,high,Absorption reduction,A,Auto-generated interaction
Supplement 806,Medication 91,moderate,Metabolism inhibition,B,Auto-generated interaction
