supplement_id,medication_id,severity,mechanism,evidence,notes
975,41,High,Absorption reduction,B,Auto-generated interaction
48,110,Low,Additive effect,B,Auto-generated interaction
395,16,Low,Absorption reduction,B,Auto-generated interaction
785,86,Moderate,Unknown,B,Auto-generated interaction
948,71,Severe,Unknown,C,Auto-generated interaction
80,1,Severe,Absorption reduction,A,Auto-generated interaction
50,19,Moderate,Unknown,A,Auto-generated interaction
134,40,Severe,Unknown,A,Auto-generated interaction
516,39,High,Additive effect,B,Auto-generated interaction
311,115,Severe,Additive effect,B,Auto-generated interaction
369,46,Severe,Metabolism inhibition,A,Auto-generated interaction
987,12,High,Absorption reduction,C,Auto-generated interaction
750,19,Moderate,Absorption reduction,A,Auto-generated interaction
30,29,Severe,Additive effect,A,Auto-generated interaction
35,20,Moderate,Unknown,C,Auto-generated interaction
792,17,High,Additive effect,C,Auto-generated interaction
302,120,High,Unknown,B,Auto-generated interaction
886,104,High,Metabolism inhibition,C,Auto-generated interaction
851,14,Moderate,Additive effect,B,Auto-generated interaction
254,121,Moderate,Absorption reduction,C,Auto-generated interaction
501,138,High,Additive effect,B,Auto-generated interaction
348,13,Moderate,Unknown,B,Auto-generated interaction
430,8,High,Additive effect,B,Auto-generated interaction
934,5,Moderate,Metabolism inhibition,B,Auto-generated interaction
700,107,Moderate,Absorption reduction,A,Auto-generated interaction
58,143,Moderate,Additive effect,C,Auto-generated interaction
577,99,Severe,Unknown,A,Auto-generated interaction
390,58,High,Additive effect,C,Auto-generated interaction
553,71,Severe,Unknown,B,Auto-generated interaction
114,18,Low,Absorption reduction,A,Auto-generated interaction
905,15,Low,Absorption reduction,A,Auto-generated interaction
610,70,Low,Absorption reduction,C,Auto-generated interaction
223,68,High,Unknown,A,Auto-generated interaction
833,42,High,Metabolism inhibition,A,Auto-generated interaction
707,11,Moderate,Additive effect,B,Auto-generated interaction
410,44,Moderate,Unknown,B,Auto-generated interaction
519,57,Low,Unknown,C,Auto-generated interaction
121,29,High,Absorption reduction,A,Auto-generated interaction
233,117,High,Absorption reduction,A,Auto-generated interaction
467,34,Low,Additive effect,B,Auto-generated interaction
852,40,Low,Unknown,B,Auto-generated interaction
670,106,Low,Additive effect,A,Auto-generated interaction
680,114,Moderate,Metabolism inhibition,C,Auto-generated interaction
159,62,Severe,Metabolism inhibition,B,Auto-generated interaction
113,134,Severe,Metabolism inhibition,C,Auto-generated interaction
390,105,Low,Absorption reduction,B,Auto-generated interaction
816,77,High,Metabolism inhibition,B,Auto-generated interaction
771,108,Moderate,Absorption reduction,B,Auto-generated interaction
807,121,Low,Unknown,A,Auto-generated interaction
84,45,Low,Additive effect,A,Auto-generated interaction
709,30,Low,Absorption reduction,A,Auto-generated interaction
975,96,Severe,Additive effect,B,Auto-generated interaction
155,110,High,Additive effect,B,Auto-generated interaction
31,59,High,Absorption reduction,C,Auto-generated interaction
206,91,High,Additive effect,C,Auto-generated interaction
178,130,Moderate,Additive effect,A,Auto-generated interaction
868,110,Severe,Absorption reduction,B,Auto-generated interaction
344,89,High,Absorption reduction,A,Auto-generated interaction
160,47,High,Additive effect,C,Auto-generated interaction
71,124,High,Absorption reduction,B,Auto-generated interaction
770,65,Severe,Metabolism inhibition,A,Auto-generated interaction
604,88,Moderate,Metabolism inhibition,C,Auto-generated interaction
563,146,Low,Absorption reduction,B,Auto-generated interaction
40,57,Low,Unknown,C,Auto-generated interaction
807,105,Low,Absorption reduction,A,Auto-generated interaction
426,77,High,Unknown,C,Auto-generated interaction
168,123,High,Absorption reduction,C,Auto-generated interaction
460,99,Low,Unknown,A,Auto-generated interaction
414,121,Severe,Metabolism inhibition,A,Auto-generated interaction
671,30,Low,Additive effect,C,Auto-generated interaction
123,72,Low,Additive effect,B,Auto-generated interaction
226,38,High,Additive effect,B,Auto-generated interaction
424,103,Moderate,Unknown,C,Auto-generated interaction
61,59,High,Absorption reduction,B,Auto-generated interaction
111,24,High,Unknown,A,Auto-generated interaction
20,66,Low,Additive effect,C,Auto-generated interaction
108,142,Moderate,Metabolism inhibition,B,Auto-generated interaction
779,137,High,Additive effect,B,Auto-generated interaction
485,29,High,Unknown,B,Auto-generated interaction
773,30,High,Absorption reduction,A,Auto-generated interaction
343,75,High,Additive effect,A,Auto-generated interaction
480,144,High,Additive effect,A,Auto-generated interaction
317,22,Moderate,Unknown,B,Auto-generated interaction
952,46,Low,Absorption reduction,B,Auto-generated interaction
342,117,Low,Metabolism inhibition,C,Auto-generated interaction
984,60,Moderate,Metabolism inhibition,C,Auto-generated interaction
106,92,Low,Additive effect,B,Auto-generated interaction
783,49,High,Unknown,B,Auto-generated interaction
194,129,Moderate,Metabolism inhibition,C,Auto-generated interaction
652,133,Severe,Unknown,C,Auto-generated interaction
108,6,Moderate,Unknown,C,Auto-generated interaction
885,92,Severe,Metabolism inhibition,B,Auto-generated interaction
382,146,Low,Additive effect,C,Auto-generated interaction
538,130,Severe,Additive effect,A,Auto-generated interaction
560,71,Moderate,Absorption reduction,A,Auto-generated interaction
383,5,Low,Unknown,A,Auto-generated interaction
446,95,Severe,Additive effect,C,Auto-generated interaction
378,88,High,Absorption reduction,C,Auto-generated interaction
252,75,Severe,Additive effect,C,Auto-generated interaction
470,4,Low,Additive effect,A,Auto-generated interaction
679,100,Severe,Absorption reduction,A,Auto-generated interaction
204,114,Moderate,Additive effect,C,Auto-generated interaction
52,56,Moderate,Metabolism inhibition,C,Auto-generated interaction
356,127,Low,Unknown,B,Auto-generated interaction
775,34,Severe,Additive effect,B,Auto-generated interaction
424,67,Moderate,Additive effect,A,Auto-generated interaction
938,55,Low,Metabolism inhibition,C,Auto-generated interaction
952,74,High,Absorption reduction,B,Auto-generated interaction
342,54,Low,Additive effect,B,Auto-generated interaction
73,136,Severe,Metabolism inhibition,B,Auto-generated interaction
607,89,Severe,Unknown,B,Auto-generated interaction
122,104,Low,Unknown,A,Auto-generated interaction
804,67,Low,Additive effect,B,Auto-generated interaction
197,70,Moderate,Metabolism inhibition,B,Auto-generated interaction
898,98,Low,Unknown,B,Auto-generated interaction
653,37,High,Unknown,B,Auto-generated interaction
33,111,Severe,Additive effect,B,Auto-generated interaction
743,85,Moderate,Unknown,B,Auto-generated interaction
551,55,Moderate,Metabolism inhibition,B,Auto-generated interaction
463,39,Low,Absorption reduction,A,Auto-generated interaction
907,149,Low,Additive effect,A,Auto-generated interaction
802,49,Severe,Metabolism inhibition,A,Auto-generated interaction
5,36,Moderate,Additive effect,A,Auto-generated interaction
107,146,Low,Absorption reduction,B,Auto-generated interaction
446,117,Severe,Metabolism inhibition,A,Auto-generated interaction
914,30,Low,Metabolism inhibition,C,Auto-generated interaction
975,60,Moderate,Absorption reduction,C,Auto-generated interaction
661,57,High,Additive effect,C,Auto-generated interaction
109,36,Moderate,Additive effect,B,Auto-generated interaction
137,58,Moderate,Metabolism inhibition,A,Auto-generated interaction
81,25,Low,Absorption reduction,A,Auto-generated interaction
727,24,Severe,Additive effect,B,Auto-generated interaction
496,139,High,Metabolism inhibition,A,Auto-generated interaction
866,71,Severe,Metabolism inhibition,C,Auto-generated interaction
201,103,Moderate,Additive effect,B,Auto-generated interaction
980,11,High,Unknown,A,Auto-generated interaction
135,1,High,Metabolism inhibition,B,Auto-generated interaction
357,17,High,Unknown,A,Auto-generated interaction
945,44,Severe,Absorption reduction,B,Auto-generated interaction
279,62,Severe,Absorption reduction,A,Auto-generated interaction
598,124,High,Additive effect,A,Auto-generated interaction
145,61,High,Additive effect,B,Auto-generated interaction
803,112,Moderate,Absorption reduction,B,Auto-generated interaction
565,56,High,Unknown,C,Auto-generated interaction
433,5,High,Unknown,A,Auto-generated interaction
304,53,Severe,Unknown,C,Auto-generated interaction
511,6,Severe,Unknown,A,Auto-generated interaction
973,30,High,Additive effect,A,Auto-generated interaction
16,69,Severe,Additive effect,B,Auto-generated interaction
386,53,High,Additive effect,B,Auto-generated interaction
299,70,Moderate,Unknown,C,Auto-generated interaction
975,53,Severe,Unknown,A,Auto-generated interaction
111,53,Low,Unknown,A,Auto-generated interaction
947,134,Severe,Absorption reduction,B,Auto-generated interaction
274,146,Severe,Absorption reduction,B,Auto-generated interaction
934,99,High,Absorption reduction,B,Auto-generated interaction
385,3,Moderate,Absorption reduction,B,Auto-generated interaction
868,27,High,Additive effect,A,Auto-generated interaction
795,132,Low,Unknown,B,Auto-generated interaction
565,149,Low,Unknown,C,Auto-generated interaction
921,109,High,Metabolism inhibition,C,Auto-generated interaction
190,62,Moderate,Absorption reduction,B,Auto-generated interaction
79,109,High,Additive effect,B,Auto-generated interaction
277,55,Low,Metabolism inhibition,B,Auto-generated interaction
246,64,Severe,Unknown,B,Auto-generated interaction
677,22,Severe,Additive effect,B,Auto-generated interaction
454,115,Low,Absorption reduction,A,Auto-generated interaction
89,77,Severe,Absorption reduction,A,Auto-generated interaction
154,17,Moderate,Additive effect,B,Auto-generated interaction
970,85,High,Absorption reduction,A,Auto-generated interaction
708,29,High,Additive effect,C,Auto-generated interaction
939,88,Moderate,Metabolism inhibition,C,Auto-generated interaction
55,111,Moderate,Metabolism inhibition,B,Auto-generated interaction
742,148,Low,Metabolism inhibition,A,Auto-generated interaction
102,34,Severe,Unknown,C,Auto-generated interaction
110,14,Severe,Additive effect,B,Auto-generated interaction
928,132,High,Metabolism inhibition,B,Auto-generated interaction
234,8,Moderate,Metabolism inhibition,C,Auto-generated interaction
649,12,Severe,Additive effect,B,Auto-generated interaction
680,55,Low,Additive effect,B,Auto-generated interaction
199,19,High,Absorption reduction,C,Auto-generated interaction
344,2,Severe,Metabolism inhibition,A,Auto-generated interaction
331,147,Severe,Unknown,A,Auto-generated interaction
767,70,Severe,Additive effect,C,Auto-generated interaction
457,52,Low,Unknown,C,Auto-generated interaction
112,6,Severe,Additive effect,A,Auto-generated interaction
897,100,Severe,Absorption reduction,B,Auto-generated interaction
41,46,Moderate,Absorption reduction,B,Auto-generated interaction
593,33,Severe,Absorption reduction,C,Auto-generated interaction
562,29,Low,Additive effect,A,Auto-generated interaction
416,101,Moderate,Metabolism inhibition,B,Auto-generated interaction
215,114,Low,Additive effect,A,Auto-generated interaction
713,23,Low,Absorption reduction,C,Auto-generated interaction
926,115,Severe,Metabolism inhibition,C,Auto-generated interaction
518,149,Low,Absorption reduction,B,Auto-generated interaction
435,113,Moderate,Additive effect,C,Auto-generated interaction
123,117,Severe,Unknown,A,Auto-generated interaction
236,98,Low,Additive effect,C,Auto-generated interaction
164,133,Low,Metabolism inhibition,A,Auto-generated interaction
263,148,Low,Absorption reduction,C,Auto-generated interaction
235,17,High,Absorption reduction,C,Auto-generated interaction
68,44,Severe,Metabolism inhibition,B,Auto-generated interaction
888,56,Moderate,Absorption reduction,C,Auto-generated interaction
587,132,High,Absorption reduction,A,Auto-generated interaction
585,123,Low,Additive effect,A,Auto-generated interaction
507,100,Moderate,Additive effect,A,Auto-generated interaction
79,123,Severe,Metabolism inhibition,C,Auto-generated interaction
796,94,Low,Additive effect,A,Auto-generated interaction
978,43,High,Unknown,B,Auto-generated interaction
225,55,Low,Absorption reduction,A,Auto-generated interaction
389,56,Severe,Metabolism inhibition,C,Auto-generated interaction
102,69,High,Absorption reduction,A,Auto-generated interaction
403,102,Severe,Unknown,C,Auto-generated interaction
670,105,Moderate,Absorption reduction,A,Auto-generated interaction
161,8,High,Absorption reduction,C,Auto-generated interaction
206,5,Severe,Absorption reduction,A,Auto-generated interaction
57,6,Severe,Absorption reduction,C,Auto-generated interaction
419,25,Severe,Additive effect,B,Auto-generated interaction
660,72,Severe,Unknown,C,Auto-generated interaction
811,4,Moderate,Absorption reduction,A,Auto-generated interaction
782,104,High,Additive effect,B,Auto-generated interaction
544,69,High,Metabolism inhibition,C,Auto-generated interaction
698,145,Low,Absorption reduction,B,Auto-generated interaction
509,87,Low,Metabolism inhibition,B,Auto-generated interaction
213,23,High,Unknown,B,Auto-generated interaction
662,17,Moderate,Additive effect,B,Auto-generated interaction
237,3,Moderate,Additive effect,C,Auto-generated interaction
823,53,High,Unknown,C,Auto-generated interaction
185,76,Low,Absorption reduction,C,Auto-generated interaction
854,17,Low,Additive effect,B,Auto-generated interaction
411,23,Low,Absorption reduction,B,Auto-generated interaction
138,126,High,Metabolism inhibition,A,Auto-generated interaction
729,92,Low,Absorption reduction,B,Auto-generated interaction
940,14,Severe,Metabolism inhibition,B,Auto-generated interaction
770,24,Severe,Additive effect,B,Auto-generated interaction
581,20,Low,Unknown,C,Auto-generated interaction
707,101,High,Unknown,A,Auto-generated interaction
963,43,Severe,Unknown,A,Auto-generated interaction
71,58,Low,Metabolism inhibition,A,Auto-generated interaction
325,48,Low,Absorption reduction,B,Auto-generated interaction
485,56,Moderate,Unknown,B,Auto-generated interaction
552,45,Severe,Unknown,B,Auto-generated interaction
366,14,Moderate,Absorption reduction,A,Auto-generated interaction
846,90,Severe,Additive effect,A,Auto-generated interaction
465,44,Moderate,Metabolism inhibition,B,Auto-generated interaction
576,146,High,Additive effect,A,Auto-generated interaction
638,46,Moderate,Absorption reduction,A,Auto-generated interaction
300,68,High,Additive effect,C,Auto-generated interaction
967,85,Severe,Absorption reduction,C,Auto-generated interaction
354,125,Low,Absorption reduction,B,Auto-generated interaction
927,129,High,Additive effect,B,Auto-generated interaction
682,147,Low,Additive effect,B,Auto-generated interaction
745,40,Moderate,Absorption reduction,A,Auto-generated interaction
423,79,High,Unknown,B,Auto-generated interaction
339,54,Low,Metabolism inhibition,A,Auto-generated interaction
349,57,Moderate,Unknown,A,Auto-generated interaction
777,139,Severe,Metabolism inhibition,C,Auto-generated interaction
530,29,Severe,Additive effect,A,Auto-generated interaction
320,37,Severe,Additive effect,B,Auto-generated interaction
786,68,High,Unknown,A,Auto-generated interaction
117,100,Low,Unknown,B,Auto-generated interaction
191,64,Low,Additive effect,C,Auto-generated interaction
917,12,High,Absorption reduction,A,Auto-generated interaction
926,143,Severe,Additive effect,C,Auto-generated interaction
499,39,Moderate,Metabolism inhibition,B,Auto-generated interaction
483,133,Low,Unknown,B,Auto-generated interaction
114,85,Moderate,Unknown,A,Auto-generated interaction
304,5,Moderate,Unknown,C,Auto-generated interaction
373,112,Moderate,Additive effect,B,Auto-generated interaction
229,123,Moderate,Additive effect,C,Auto-generated interaction
836,68,Severe,Metabolism inhibition,A,Auto-generated interaction
548,110,Moderate,Absorption reduction,B,Auto-generated interaction
629,67,Moderate,Metabolism inhibition,B,Auto-generated interaction
923,100,Moderate,Metabolism inhibition,C,Auto-generated interaction
782,123,Severe,Additive effect,C,Auto-generated interaction
737,139,High,Absorption reduction,B,Auto-generated interaction
325,108,Moderate,Unknown,A,Auto-generated interaction
537,102,Moderate,Additive effect,B,Auto-generated interaction
746,47,Moderate,Unknown,A,Auto-generated interaction
325,138,Low,Absorption reduction,B,Auto-generated interaction
237,57,Low,Absorption reduction,A,Auto-generated interaction
976,125,Low,Additive effect,B,Auto-generated interaction
94,114,High,Absorption reduction,C,Auto-generated interaction
323,92,Moderate,Additive effect,A,Auto-generated interaction
725,17,Low,Unknown,B,Auto-generated interaction
861,129,Moderate,Absorption reduction,B,Auto-generated interaction
804,27,Severe,Additive effect,C,Auto-generated interaction
680,55,Low,Absorption reduction,C,Auto-generated interaction
116,20,Low,Metabolism inhibition,B,Auto-generated interaction
921,147,Low,Additive effect,A,Auto-generated interaction
186,116,Low,Unknown,B,Auto-generated interaction
981,91,Severe,Additive effect,C,Auto-generated interaction
766,7,Moderate,Metabolism inhibition,C,Auto-generated interaction
176,82,Low,Additive effect,C,Auto-generated interaction
626,124,Low,Metabolism inhibition,C,Auto-generated interaction
388,144,Severe,Metabolism inhibition,C,Auto-generated interaction
273,75,Low,Metabolism inhibition,B,Auto-generated interaction
48,5,High,Metabolism inhibition,B,Auto-generated interaction
465,125,High,Additive effect,A,Auto-generated interaction
423,119,Severe,Absorption reduction,A,Auto-generated interaction
885,137,High,Additive effect,B,Auto-generated interaction
672,96,Moderate,Additive effect,B,Auto-generated interaction
538,140,Moderate,Metabolism inhibition,B,Auto-generated interaction
507,45,High,Unknown,A,Auto-generated interaction
127,121,Low,Unknown,B,Auto-generated interaction
797,104,High,Absorption reduction,B,Auto-generated interaction
666,133,Severe,Absorption reduction,C,Auto-generated interaction
38,139,Severe,Absorption reduction,A,Auto-generated interaction
844,129,Severe,Absorption reduction,A,Auto-generated interaction
720,17,Low,Metabolism inhibition,A,Auto-generated interaction
543,101,Low,Metabolism inhibition,A,Auto-generated interaction
234,127,Severe,Additive effect,A,Auto-generated interaction
65,21,Moderate,Absorption reduction,B,Auto-generated interaction
386,91,Low,Metabolism inhibition,B,Auto-generated interaction
642,131,Severe,Additive effect,B,Auto-generated interaction
111,138,Low,Additive effect,A,Auto-generated interaction
632,91,Moderate,Absorption reduction,A,Auto-generated interaction
454,67,Severe,Metabolism inhibition,B,Auto-generated interaction
410,138,Low,Additive effect,A,Auto-generated interaction
992,49,Moderate,Unknown,A,Auto-generated interaction
245,17,Severe,Unknown,A,Auto-generated interaction
375,141,Severe,Unknown,C,Auto-generated interaction
1,133,Moderate,Additive effect,A,Auto-generated interaction
437,23,High,Additive effect,C,Auto-generated interaction
657,73,Moderate,Absorption reduction,C,Auto-generated interaction
255,4,High,Additive effect,A,Auto-generated interaction
735,117,Moderate,Unknown,B,Auto-generated interaction
633,20,Moderate,Additive effect,A,Auto-generated interaction
930,115,Low,Additive effect,B,Auto-generated interaction
869,112,High,Absorption reduction,B,Auto-generated interaction
7,129,High,Absorption reduction,B,Auto-generated interaction
796,6,Severe,Metabolism inhibition,C,Auto-generated interaction
413,84,Moderate,Additive effect,C,Auto-generated interaction
757,20,Severe,Additive effect,A,Auto-generated interaction
15,14,High,Additive effect,C,Auto-generated interaction
712,26,Severe,Absorption reduction,A,Auto-generated interaction
708,136,Low,Absorption reduction,B,Auto-generated interaction
186,146,Moderate,Additive effect,C,Auto-generated interaction
988,100,Severe,Unknown,B,Auto-generated interaction
233,15,Low,Metabolism inhibition,A,Auto-generated interaction
781,41,Moderate,Additive effect,C,Auto-generated interaction
176,85,Severe,Absorption reduction,B,Auto-generated interaction
484,28,High,Metabolism inhibition,A,Auto-generated interaction
8,23,Low,Absorption reduction,A,Auto-generated interaction
189,125,Low,Additive effect,C,Auto-generated interaction
391,28,Low,Metabolism inhibition,C,Auto-generated interaction
125,106,Severe,Additive effect,C,Auto-generated interaction
743,54,Low,Unknown,C,Auto-generated interaction
510,66,High,Unknown,A,Auto-generated interaction
534,42,High,Additive effect,A,Auto-generated interaction
199,120,Severe,Absorption reduction,B,Auto-generated interaction
859,134,Severe,Additive effect,A,Auto-generated interaction
165,79,Moderate,Additive effect,C,Auto-generated interaction
457,79,Moderate,Absorption reduction,B,Auto-generated interaction
628,19,High,Metabolism inhibition,A,Auto-generated interaction
667,37,Severe,Additive effect,B,Auto-generated interaction
307,43,Moderate,Metabolism inhibition,C,Auto-generated interaction
904,49,Moderate,Metabolism inhibition,B,Auto-generated interaction
378,70,High,Unknown,A,Auto-generated interaction
12,53,Severe,Absorption reduction,A,Auto-generated interaction
438,91,Low,Metabolism inhibition,A,Auto-generated interaction
87,27,Severe,Metabolism inhibition,C,Auto-generated interaction
259,129,Low,Absorption reduction,C,Auto-generated interaction
655,34,High,Metabolism inhibition,B,Auto-generated interaction
94,21,Moderate,Metabolism inhibition,B,Auto-generated interaction
533,139,Severe,Metabolism inhibition,B,Auto-generated interaction
281,7,High,Unknown,C,Auto-generated interaction
561,106,Severe,Metabolism inhibition,C,Auto-generated interaction
503,17,Moderate,Metabolism inhibition,B,Auto-generated interaction
620,55,Low,Additive effect,B,Auto-generated interaction
721,138,Low,Absorption reduction,C,Auto-generated interaction
621,127,Moderate,Unknown,A,Auto-generated interaction
802,20,Moderate,Unknown,B,Auto-generated interaction
251,24,Moderate,Unknown,A,Auto-generated interaction
297,79,High,Unknown,A,Auto-generated interaction
187,102,High,Unknown,C,Auto-generated interaction
95,81,Severe,Absorption reduction,C,Auto-generated interaction
120,131,High,Unknown,C,Auto-generated interaction
929,7,High,Additive effect,C,Auto-generated interaction
491,93,Severe,Metabolism inhibition,A,Auto-generated interaction
618,9,Severe,Absorption reduction,C,Auto-generated interaction
82,6,Low,Absorption reduction,A,Auto-generated interaction
445,6,Severe,Additive effect,B,Auto-generated interaction
471,106,Severe,Additive effect,B,Auto-generated interaction
147,150,Moderate,Metabolism inhibition,A,Auto-generated interaction
587,145,Low,Metabolism inhibition,C,Auto-generated interaction
318,85,High,Metabolism inhibition,A,Auto-generated interaction
653,48,High,Additive effect,C,Auto-generated interaction
594,124,High,Unknown,B,Auto-generated interaction
366,67,Low,Unknown,A,Auto-generated interaction
452,75,Low,Metabolism inhibition,A,Auto-generated interaction
922,90,Moderate,Metabolism inhibition,A,Auto-generated interaction
191,86,Low,Metabolism inhibition,A,Auto-generated interaction
720,39,Low,Absorption reduction,C,Auto-generated interaction
787,83,Severe,Metabolism inhibition,B,Auto-generated interaction
617,76,High,Unknown,B,Auto-generated interaction
923,69,High,Metabolism inhibition,B,Auto-generated interaction
918,63,High,Absorption reduction,C,Auto-generated interaction
680,64,High,Unknown,A,Auto-generated interaction
412,101,Low,Additive effect,B,Auto-generated interaction
546,114,High,Metabolism inhibition,B,Auto-generated interaction
47,111,Severe,Absorption reduction,C,Auto-generated interaction
15,101,Low,Unknown,C,Auto-generated interaction
666,42,Severe,Additive effect,B,Auto-generated interaction
218,123,Moderate,Metabolism inhibition,C,Auto-generated interaction
10,69,Moderate,Absorption reduction,C,Auto-generated interaction
456,98,High,Unknown,A,Auto-generated interaction
20,84,High,Unknown,A,Auto-generated interaction
82,78,Moderate,Unknown,B,Auto-generated interaction
348,18,High,Absorption reduction,A,Auto-generated interaction
355,124,High,Additive effect,A,Auto-generated interaction
891,78,Low,Absorption reduction,B,Auto-generated interaction
908,29,Severe,Additive effect,B,Auto-generated interaction
189,11,Moderate,Unknown,C,Auto-generated interaction
404,35,Moderate,Absorption reduction,C,Auto-generated interaction
945,101,Low,Metabolism inhibition,B,Auto-generated interaction
980,24,High,Absorption reduction,A,Auto-generated interaction
299,13,Moderate,Unknown,C,Auto-generated interaction
11,144,Moderate,Additive effect,B,Auto-generated interaction
192,60,High,Additive effect,B,Auto-generated interaction
602,121,Low,Metabolism inhibition,C,Auto-generated interaction
543,49,Low,Metabolism inhibition,B,Auto-generated interaction
668,100,Severe,Unknown,A,Auto-generated interaction
268,29,Severe,Absorption reduction,B,Auto-generated interaction
151,103,Moderate,Absorption reduction,B,Auto-generated interaction
287,83,Severe,Absorption reduction,C,Auto-generated interaction
957,98,Moderate,Additive effect,C,Auto-generated interaction
577,64,Moderate,Additive effect,A,Auto-generated interaction
705,27,Severe,Unknown,A,Auto-generated interaction
702,144,Moderate,Absorption reduction,A,Auto-generated interaction
92,1,Low,Unknown,A,Auto-generated interaction
708,125,Moderate,Absorption reduction,A,Auto-generated interaction
855,113,High,Metabolism inhibition,C,Auto-generated interaction
595,46,High,Unknown,B,Auto-generated interaction
669,137,High,Unknown,A,Auto-generated interaction
202,117,Moderate,Additive effect,A,Auto-generated interaction
496,125,High,Metabolism inhibition,A,Auto-generated interaction
537,141,High,Metabolism inhibition,B,Auto-generated interaction
503,132,Low,Additive effect,A,Auto-generated interaction
523,78,Low,Unknown,A,Auto-generated interaction
670,143,Low,Metabolism inhibition,A,Auto-generated interaction
671,115,High,Absorption reduction,B,Auto-generated interaction
851,9,High,Absorption reduction,A,Auto-generated interaction
401,77,Severe,Absorption reduction,B,Auto-generated interaction
729,112,High,Unknown,C,Auto-generated interaction
355,132,High,Metabolism inhibition,B,Auto-generated interaction
396,139,Severe,Absorption reduction,B,Auto-generated interaction
105,9,Severe,Additive effect,B,Auto-generated interaction
313,70,Moderate,Unknown,C,Auto-generated interaction
30,95,Moderate,Absorption reduction,B,Auto-generated interaction
697,117,Low,Additive effect,B,Auto-generated interaction
325,13,Low,Unknown,A,Auto-generated interaction
52,51,High,Additive effect,B,Auto-generated interaction
726,96,Low,Additive effect,C,Auto-generated interaction
954,144,Low,Additive effect,A,Auto-generated interaction
533,114,High,Absorption reduction,A,Auto-generated interaction
658,57,Moderate,Additive effect,A,Auto-generated interaction
889,67,Moderate,Additive effect,B,Auto-generated interaction
430,59,Severe,Unknown,B,Auto-generated interaction
714,82,Low,Metabolism inhibition,A,Auto-generated interaction
114,134,High,Unknown,A,Auto-generated interaction
271,131,Moderate,Additive effect,C,Auto-generated interaction
407,77,High,Additive effect,A,Auto-generated interaction
870,27,Low,Additive effect,A,Auto-generated interaction
11,47,Moderate,Unknown,A,Auto-generated interaction
204,50,Low,Metabolism inhibition,A,Auto-generated interaction
440,87,Low,Absorption reduction,B,Auto-generated interaction
231,132,Severe,Absorption reduction,C,Auto-generated interaction
678,149,Moderate,Absorption reduction,C,Auto-generated interaction
995,121,High,Absorption reduction,C,Auto-generated interaction
680,121,Low,Metabolism inhibition,A,Auto-generated interaction
857,12,Moderate,Metabolism inhibition,B,Auto-generated interaction
554,134,High,Additive effect,C,Auto-generated interaction
691,67,Low,Unknown,B,Auto-generated interaction
758,140,Severe,Metabolism inhibition,C,Auto-generated interaction
878,136,Moderate,Unknown,C,Auto-generated interaction
470,39,Low,Unknown,B,Auto-generated interaction
285,41,Low,Absorption reduction,A,Auto-generated interaction
628,92,Severe,Unknown,B,Auto-generated interaction
708,114,Moderate,Additive effect,B,Auto-generated interaction
714,50,High,Absorption reduction,A,Auto-generated interaction
502,58,Severe,Absorption reduction,C,Auto-generated interaction
7,118,High,Additive effect,A,Auto-generated interaction
982,78,High,Metabolism inhibition,B,Auto-generated interaction
22,111,Severe,Unknown,A,Auto-generated interaction
509,13,Moderate,Additive effect,B,Auto-generated interaction
856,62,High,Absorption reduction,A,Auto-generated interaction
295,13,Severe,Unknown,A,Auto-generated interaction
475,13,Moderate,Metabolism inhibition,C,Auto-generated interaction
189,25,Moderate,Absorption reduction,A,Auto-generated interaction
918,47,High,Unknown,A,Auto-generated interaction
829,73,High,Metabolism inhibition,A,Auto-generated interaction
953,57,Moderate,Absorption reduction,B,Auto-generated interaction
282,24,High,Unknown,C,Auto-generated interaction
930,125,Severe,Unknown,A,Auto-generated interaction
10,33,High,Unknown,A,Auto-generated interaction
273,144,Severe,Metabolism inhibition,B,Auto-generated interaction
412,66,High,Metabolism inhibition,B,Auto-generated interaction
532,144,Severe,Metabolism inhibition,B,Auto-generated interaction
635,48,Severe,Metabolism inhibition,B,Auto-generated interaction
520,39,High,Additive effect,A,Auto-generated interaction
719,143,Severe,Additive effect,A,Auto-generated interaction
144,138,Moderate,Absorption reduction,C,Auto-generated interaction
234,119,Moderate,Absorption reduction,B,Auto-generated interaction
820,21,Low,Metabolism inhibition,C,Auto-generated interaction
616,14,High,Unknown,C,Auto-generated interaction
96,68,Moderate,Additive effect,B,Auto-generated interaction
85,73,High,Unknown,C,Auto-generated interaction
476,31,Moderate,Metabolism inhibition,B,Auto-generated interaction
723,142,High,Metabolism inhibition,C,Auto-generated interaction
781,62,Low,Unknown,A,Auto-generated interaction
139,127,High,Unknown,C,Auto-generated interaction
905,51,High,Metabolism inhibition,B,Auto-generated interaction
713,132,Low,Absorption reduction,A,Auto-generated interaction
989,55,Low,Absorption reduction,C,Auto-generated interaction
530,139,High,Additive effect,B,Auto-generated interaction
504,102,Severe,Metabolism inhibition,B,Auto-generated interaction
728,53,High,Absorption reduction,B,Auto-generated interaction
915,1,Moderate,Unknown,B,Auto-generated interaction
245,106,Low,Additive effect,C,Auto-generated interaction
909,56,Moderate,Unknown,C,Auto-generated interaction
875,40,High,Absorption reduction,A,Auto-generated interaction
806,91,Moderate,Metabolism inhibition,B,Auto-generated interaction
905,38,Severe,Metabolism inhibition,A,Auto-generated interaction
